InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
565232,23166,MEDIUM CERAMIC TOP STORAGE JAR,1,9/2/2011 9:30,2.46,NA,United Kingdom
552508,22132,RED LOVE HEART SHAPE CUP,1,5/9/2011 16:27,1.63,NA,United Kingdom
544070,84378,SET OF 3 HEART COOKIE CUTTERS,12,2/15/2011 14:19,1.25,15370,United Kingdom
576618,90197B,BLACK GLASS BRACELET W HEART CHARMS,1,11/15/2011 17:00,4.98,NA,United Kingdom
577719,22811,SET OF 6 T-LIGHTS CACTI ,48,11/21/2011 12:20,2.55,16013,United Kingdom
541406,22283,6 EGG HOUSE PAINTED WOOD,2,1/17/2011 15:19,7.95,14657,United Kingdom
562933,21992,VINTAGE PAISLEY STATIONERY SET,4,8/10/2011 16:51,2.46,NA,United Kingdom
581439,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,12/8/2011 16:30,4.96,NA,United Kingdom
572856,85036C,ROSE 1 WICK MORRIS BOXED CANDLE,6,10/26/2011 12:28,1.25,18118,United Kingdom
538566,85199L,LARGE HANGING IVORY & RED WOOD BIRD,1,12/13/2010 11:21,1.28,NA,United Kingdom
542906,62094B,TURQ ICE CREAM BUM BAG ,1,2/1/2011 15:12,4.96,NA,United Kingdom
571033,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,10/13/2011 12:46,0.42,14251,United Kingdom
555602,23298,SPOTTY BUNTING,6,6/6/2011 11:26,4.95,16235,United Kingdom
549543,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,2,4/10/2011 11:14,2.55,18118,United Kingdom
566193,22348,TEA BAG PLATE RED RETROSPOT,12,9/9/2011 13:37,0.85,14961,United Kingdom
569416,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,10/4/2011 10:15,3.75,13801,United Kingdom
578924,22121,NOEL WOODEN BLOCK LETTERS ,1,11/27/2011 12:10,5.95,16983,United Kingdom
574959,23348,CHILDRENS TOY COOKING UTENSIL SET,2,11/8/2011 10:09,2.08,17886,United Kingdom
565456,82600,NO SINGING METAL SIGN,1,9/4/2011 16:12,2.1,16629,United Kingdom
552442,23254,CHILDRENS CUTLERY DOLLY GIRL ,2,5/9/2011 13:03,4.15,14667,United Kingdom
563029,23211,RED ROCKING HORSE HAND PAINTED,24,8/11/2011 14:34,1.25,18093,United Kingdom
C543347,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-3,2/7/2011 12:44,2.95,12472,Germany
552460,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,5/9/2011 14:44,1.65,13178,United Kingdom
580103,22379,RECYCLING BAG RETROSPOT ,5,12/1/2011 15:12,2.1,16242,United Kingdom
573264,22470,HEART OF WICKER LARGE,3,10/28/2011 12:36,2.95,14415,United Kingdom
573548,21175,GIN + TONIC DIET METAL SIGN,5,10/31/2011 13:22,2.55,13680,United Kingdom
554275,21904,HOUSE WRECKING METAL SIGN ,2,5/23/2011 13:17,2.1,14903,United Kingdom
550314,22229,BUNNY WOODEN PAINTED WITH FLOWER ,2,4/17/2011 11:30,0.85,16905,United Kingdom
561095,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,7/25/2011 10:19,1.25,17040,United Kingdom
561820,22988,SOLDIERS EGG CUP ,1,7/29/2011 16:00,2.46,NA,United Kingdom
547068,22131,FOOD CONTAINER SET 3 LOVE HEART ,6,3/20/2011 13:48,1.95,13985,United Kingdom
558100,23315,IVORY REFECTORY CLOCK,2,6/26/2011 13:46,9.95,17768,United Kingdom
549683,85099B,JUMBO BAG RED RETROSPOT,10,4/11/2011 13:24,2.08,14273,United Kingdom
558774,51014C,"FEATHER PEN,COAL BLACK",1,7/4/2011 10:17,0.83,NA,United Kingdom
559668,23310,BUBBLEGUM RING ASSORTED,36,7/11/2011 13:40,0.42,13394,United Kingdom
545191,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2/28/2011 15:39,1.65,12811,Portugal
566076,22376,AIRLINE BAG VINTAGE JET SET WHITE,4,9/9/2011 9:13,4.25,12449,Belgium
562934,21801,CHRISTMAS TREE DECORATION WITH BELL,4,8/10/2011 16:56,0.42,NA,United Kingdom
578834,82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,1,11/25/2011 15:32,8.95,18109,United Kingdom
547248,22477,WATERING CAN GARDEN MARKER,1,3/22/2011 9:23,2.46,NA,United Kingdom
561933,21390,FILIGRIS HEART WITH BUTTERFLY,24,8/1/2011 12:56,1.25,12949,United Kingdom
541104,85202,HANGING WOOD AND FELT HEART,13,1/13/2011 14:29,0.42,NA,United Kingdom
572553,23208,LUNCH BAG VINTAGE LEAF DESIGN,2,10/24/2011 17:09,4.13,NA,United Kingdom
540468,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,8,1/7/2011 13:55,8.47,NA,United Kingdom
569110,23209,LUNCH BAG VINTAGE DOILY ,10,9/30/2011 12:44,1.65,17675,United Kingdom
580059,22633,HAND WARMER UNION JACK,48,12/1/2011 13:22,2.1,17768,United Kingdom
567488,22588,CARD HOLDER GINGHAM HEART,3,9/20/2011 14:00,2.89,17564,United Kingdom
C578832,22378,WALL TIDY RETROSPOT ,-1,11/25/2011 15:18,2.1,13069,United Kingdom
566849,22818,CARD CHRISTMAS VILLAGE,12,9/15/2011 12:03,0.42,16341,United Kingdom
552803,82581,TOILET METAL SIGN,6,5/11/2011 12:32,0.55,14573,United Kingdom
562717,22026,BANQUET BIRTHDAY  CARD  ,1,8/8/2011 15:42,0.83,NA,United Kingdom
562770,22662,LUNCH BAG DOLLY GIRL DESIGN,20,8/9/2011 11:56,1.65,17139,United Kingdom
566773,22627,MINT KITCHEN SCALES,8,9/15/2011 9:43,8.5,12444,Norway
568687,22090,PAPER BUNTING RETROSPOT,12,9/28/2011 14:26,2.95,16321,Australia
554597,84978,HANGING HEART JAR T-LIGHT HOLDER,24,5/25/2011 11:01,1.25,15140,United Kingdom
555508,21171,BATHROOM METAL SIGN ,4,6/3/2011 16:45,1.45,16880,United Kingdom
579741,22627,MINT KITCHEN SCALES,1,11/30/2011 14:33,8.5,16910,United Kingdom
536401,22473,TV DINNER TRAY VINTAGE PAISLEY,1,12/1/2010 11:21,4.95,15862,United Kingdom
579141,20973,12 PENCIL SMALL TUBE WOODLAND,1,11/28/2011 13:06,0.65,17019,United Kingdom
570237,23014,GLASS APOTHECARY BOTTLE ELIXIR,2,10/9/2011 14:48,3.95,13212,United Kingdom
537772,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/8/2010 12:35,2.95,18043,United Kingdom
569208,22152,PLACE SETTING WHITE STAR,24,10/2/2011 11:10,0.42,16693,United Kingdom
561902,23286,BLUE VINTAGE SPOT BEAKER,96,7/31/2011 15:50,0.85,17404,Sweden
540026,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1,1/4/2011 13:25,25.49,NA,United Kingdom
581478,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,12/9/2011 8:59,3.75,17364,United Kingdom
547547,22602,RETROSPOT WOODEN HEART DECORATION,1,3/23/2011 15:30,1.63,NA,United Kingdom
537424,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,12/6/2010 15:35,4.95,15602,United Kingdom
567174,72122,COFFEE SCENT PILLAR CANDLE,3,9/18/2011 13:31,0.95,16438,United Kingdom
563078,23298,SPOTTY BUNTING,9,8/11/2011 16:30,4.95,15955,United Kingdom
546850,21175,GIN + TONIC DIET METAL SIGN,3,3/17/2011 13:20,2.55,13268,United Kingdom
569372,20996,JAZZ HEARTS ADDRESS BOOK,1,10/3/2011 16:04,0.83,NA,United Kingdom
569898,23530,WALL ART ONLY ONE PERSON ,1,10/6/2011 16:08,10.79,NA,United Kingdom
576390,21232,STRAWBERRY CERAMIC TRINKET POT,12,11/15/2011 10:13,1.25,12569,Germany
548522,84549,CROCHET WHITE RABBIT KEYRING ,3,3/31/2011 16:43,3.29,NA,United Kingdom
578347,22025,RING OF ROSES BIRTHDAY CARD,1,11/24/2011 9:26,0.83,NA,United Kingdom
570807,23534,WALL ART STOP FOR TEA ,6,10/12/2011 12:44,5.95,13704,United Kingdom
552264,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,5/8/2011 11:38,0.65,14959,United Kingdom
567878,85032B,BLOSSOM IMAGES GIFT WRAP SET,1,9/22/2011 14:42,0.65,16910,United Kingdom
563720,21698,MOCK LOBSTER FRIDGE MAGNET,3,8/18/2011 16:24,0.39,15867,United Kingdom
554353,82482,WOODEN PICTURE FRAME WHITE FINISH,72,5/24/2011 9:10,2.1,14258,United Kingdom
579187,23535,WALL ART BICYCLE SAFETY,3,11/28/2011 15:31,12.46,NA,United Kingdom
C539576,15056N,EDWARDIAN PARASOL NATURAL,-6,12/20/2010 12:25,5.95,14911,EIRE
562553,82600,NO SINGING METAL SIGN,1,8/5/2011 16:34,4.13,NA,United Kingdom
542107,21623,VINTAGE UNION JACK MEMOBOARD,1,1/25/2011 13:38,9.95,16222,United Kingdom
566864,21169,YOU'RE CONFUSING ME METAL SIGN ,1,9/15/2011 12:51,1.69,17786,United Kingdom
544476,82582,AREA PATROLLED METAL SIGN,2,2/21/2011 9:58,2.1,14796,United Kingdom
571433,22621,TRADITIONAL KNITTING NANCY,12,10/17/2011 13:19,1.65,13015,United Kingdom
580272,21592,RETROSPOT CIGAR BOX MATCHES ,3,12/2/2011 12:52,0.39,15547,United Kingdom
541999,90161A,ANT COPPER RED BOUDICCA BRACELET,1,1/25/2011 10:45,4.98,NA,United Kingdom
576213,47503H,ASS FLORAL PRINT SPIRIT LEVEL ,1,11/14/2011 12:47,0.79,18117,United Kingdom
573576,22083,PAPER CHAIN KIT RETROSPOT,1,10/31/2011 14:09,5.79,14096,United Kingdom
567859,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,24,9/22/2011 13:51,2.95,12936,United Kingdom
537374,79051A,SMOKEY GREY COLOUR D.O.F. GLASS,4,12/6/2010 12:55,0.65,17259,United Kingdom
548169,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,10,3/29/2011 13:48,2.55,14680,United Kingdom
580727,23209,LUNCH BAG VINTAGE DOILY ,2,12/5/2011 17:17,4.13,14096,United Kingdom
544074,22913,RED COAT RACK PARIS FASHION,2,2/15/2011 14:49,4.95,14156,EIRE
577358,22716,CARD CIRCUS PARADE,1,11/18/2011 15:59,0.83,NA,United Kingdom
575176,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,1,11/8/2011 18:29,1.25,NA,United Kingdom
538145,82494L,WOODEN FRAME ANTIQUE WHITE ,6,12/9/2010 16:08,2.95,15211,United Kingdom
541421,22134,MINI LADLE LOVE HEART RED ,10,1/17/2011 17:44,0.42,NA,United Kingdom
538208,22568,FELTCRAFT CUSHION OWL,1,12/10/2010 11:39,3.75,14037,United Kingdom
544495,21915,RED  HARMONICA IN BOX ,12,2/21/2011 11:42,1.25,12766,Portugal
581241,21181,PLEASE ONE PERSON METAL SIGN,12,12/8/2011 10:58,2.1,15520,United Kingdom
561096,23202,JUMBO BAG VINTAGE LEAF,10,7/25/2011 10:28,2.08,16099,United Kingdom
544914,22662,LUNCH BAG DOLLY GIRL DESIGN,10,2/24/2011 15:39,1.65,16722,United Kingdom
564145,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,12,8/23/2011 12:18,0.85,14329,United Kingdom
543428,82582,AREA PATROLLED METAL SIGN,4,2/8/2011 11:36,2.1,17787,United Kingdom
577174,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,4,11/18/2011 10:58,0.85,17841,United Kingdom
543010,22853,CAT BOWL VINTAGE CREAM,6,2/2/2011 13:16,3.25,18250,United Kingdom
549524,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,2,4/8/2011 15:42,1.63,NA,United Kingdom
561371,21718,RED METAL BEACH SPADE ,1,7/26/2011 16:25,2.46,NA,United Kingdom
540514,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,1/9/2011 11:43,3.75,15708,United Kingdom
551054,84879,ASSORTED COLOUR BIRD ORNAMENT,8,4/26/2011 11:44,1.69,12429,Austria
537126,22866,HAND WARMER SCOTTY DOG DESIGN,4,12/5/2010 12:13,2.1,18118,United Kingdom
546896,22424,ENAMEL BREAD BIN CREAM,1,3/17/2011 18:24,24.96,NA,United Kingdom
560942,20723,STRAWBERRY CHARLOTTE BAG,6,7/22/2011 11:31,0.85,15005,United Kingdom
541816,20718,RED RETROSPOT SHOPPER BAG,3,1/21/2011 15:56,1.25,17799,United Kingdom
577893,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,2,11/22/2011 11:47,0.42,17073,United Kingdom
559521,20750,RED RETROSPOT MINI CASES,2,7/8/2011 16:26,7.95,NA,Unspecified
577058,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,1,11/17/2011 14:29,1.25,18122,United Kingdom
565366,23356,LOVE HOT WATER BOTTLE,3,9/2/2011 14:56,5.95,17091,United Kingdom
573340,23583,LUNCH BAG PAISLEY PARK  ,4,10/30/2011 11:55,1.65,14159,United Kingdom
545568,84792,ENCHANTED BIRD COATHANGER 5 HOOK,1,3/3/2011 16:22,9.13,NA,United Kingdom
565234,22424,ENAMEL BREAD BIN CREAM,1,9/2/2011 9:38,24.96,NA,United Kingdom
540255,20832,RED FLOCK LOVE HEART PHOTO FRAME,1,1/5/2011 16:50,0.81,NA,United Kingdom
576329,22550,HOLIDAY FUN LUDO,1,11/14/2011 15:22,7.46,NA,United Kingdom
571846,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,5,10/19/2011 12:35,1.25,17841,United Kingdom
539325,85212,MINI PAINTED GARDEN DECORATION ,72,12/17/2010 8:20,0.21,13004,United Kingdom
544075,21756,BATH BUILDING BLOCK WORD,18,2/15/2011 14:50,5.45,14156,EIRE
558970,23298,SPOTTY BUNTING,6,7/5/2011 11:10,4.95,18232,United Kingdom
543619,22858,EASTER TIN KEEPSAKE,12,2/10/2011 14:51,1.65,16842,United Kingdom
537649,84949,SILVER HANGING T-LIGHT HOLDER,12,12/7/2010 15:48,1.65,13807,United Kingdom
550458,37475,SET/4 COLOURFUL MIXING BOWLS,1,4/18/2011 13:13,8.29,NA,United Kingdom
579777,23207,LUNCH BAG ALPHABET DESIGN,1,11/30/2011 15:13,4.13,NA,United Kingdom
568394,22712,CARD DOLLY GIRL ,12,9/27/2011 10:20,0.42,13314,United Kingdom
540415,22986,GINGHAM ROSE WRAP,25,1/7/2011 10:47,0.42,16889,United Kingdom
536630,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12/2/2010 10:56,3.39,17850,United Kingdom
559894,35968,FOLK ART METAL HEART T-LIGHT HOLDER,4,7/13/2011 12:06,0.38,14159,United Kingdom
562688,23208,LUNCH BAG VINTAGE LEAF DESIGN,4,8/8/2011 13:53,1.65,13869,United Kingdom
557640,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,6/21/2011 16:24,4.13,NA,United Kingdom
543544,21916,SET 12 RETRO WHITE CHALK STICKS,1,2/9/2011 15:39,0.42,NA,United Kingdom
568061,23201,JUMBO BAG ALPHABET,1,9/23/2011 13:12,2.08,16910,United Kingdom
576927,20726,LUNCH BAG WOODLAND,10,11/17/2011 11:02,1.65,12567,France
581439,23497,CLASSIC CHROME BICYCLE BELL ,1,12/8/2011 16:30,3.29,NA,United Kingdom
550006,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,4/14/2011 10:10,2.08,17841,United Kingdom
558235,22585,PACK OF 6 BIRDY GIFT TAGS,1,6/27/2011 14:41,1.25,16242,United Kingdom
561209,79066K,RETRO MOD TRAY,2,7/25/2011 16:57,1.63,NA,United Kingdom
571824,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,10/19/2011 11:49,2.95,12472,Germany
566010,22748,POPPY'S PLAYHOUSE KITCHEN,1,9/8/2011 12:05,2.1,13700,United Kingdom
546543,22382,LUNCH BAG SPACEBOY DESIGN ,2,3/14/2011 15:40,1.65,17841,United Kingdom
545050,22281,EASTER TREE YELLOW BIRDS,2,2/27/2011 11:57,5.95,15951,United Kingdom
541869,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1,1/24/2011 9:35,4.13,NA,United Kingdom
554117,15044C,PURPLE PAPER PARASOL,3,5/22/2011 15:12,2.95,13758,United Kingdom
